glyph_name,ps_name,USV,sort_final
,.notdef,,2
,space,0020,3
,exclam,0021,4
,quotedbl,0022,5
,numbersign,0023,6
,dollar,0024,7
,percent,0025,8
,ampersand,0026,9
,quotesingle,0027,10
,parenleft,0028,11
,parenright,0029,12
,asterisk,002A,13
,plus,002B,14
,comma,002C,15
,hyphen,002D,16
,period,002E,17
,slash,002F,18
,zero,0030,19
,one,0031,20
,two,0032,21
,three,0033,22
,four,0034,23
,five,0035,24
,six,0036,25
,seven,0037,26
,eight,0038,27
,nine,0039,28
,colon,003A,29
,semicolon,003B,30
,less,003C,31
,equal,003D,32
,greater,003E,33
,question,003F,34
,at,0040,35
,A,0041,36
,B,0042,37
,C,0043,38
,D,0044,39
,E,0045,40
,F,0046,41
,G,0047,42
,H,0048,43
,I,0049,44
,J,004A,45
,K,004B,46
,L,004C,47
,M,004D,48
,N,004E,49
,O,004F,50
,P,0050,51
,Q,0051,52
,R,0052,53
,S,0053,54
,T,0054,55
,U,0055,56
,V,0056,57
,W,0057,58
,X,0058,59
,Y,0059,60
,Z,005A,61
,bracketleft,005B,62
,backslash,005C,63
,bracketright,005D,64
,asciicircum,005E,65
,underscore,005F,66
,grave,0060,67
,a,0061,68
,b,0062,69
,c,0063,70
,d,0064,71
,e,0065,72
,f,0066,73
,g,0067,74
,h,0068,75
,i,0069,76
,j,006A,77
,k,006B,78
,l,006C,79
,m,006D,80
,n,006E,81
,o,006F,82
,p,0070,83
,q,0071,84
,r,0072,85
,s,0073,86
,t,0074,87
,u,0075,88
,v,0076,89
,w,0077,90
,x,0078,91
,y,0079,92
,z,007A,93
,braceleft,007B,94
,bar,007C,95
,braceright,007D,96
,asciitilde,007E,97
,uni00A0,00A0,98
,exclamdown,00A1,99
,cent,00A2,100
,sterling,00A3,101
,currency,00A4,102
,yen,00A5,103
,brokenbar,00A6,104
,section,00A7,105
,dieresis,00A8,106
,copyright,00A9,107
,ordfeminine,00AA,108
,guillemotleft,00AB,109
,logicalnot,00AC,110
,uni00AD,00AD,111
,registered,00AE,112
,macron,00AF,113
,degree,00B0,114
,plusminus,00B1,115
,twosuperior,00B2,116
,threesuperior,00B3,117
,acute,00B4,118
,mu,00B5,119
,paragraph,00B6,120
,periodcentered,00B7,121
,cedilla,00B8,122
,onesuperior,00B9,123
,ordmasculine,00BA,124
,guillemotright,00BB,125
,onequarter,00BC,126
,onehalf,00BD,127
,threequarters,00BE,128
,questiondown,00BF,129
,Agrave,00C0,130
,Aacute,00C1,131
,Acircumflex,00C2,132
,Atilde,00C3,133
,Adieresis,00C4,134
,Aring,00C5,135
,AE,00C6,136
,Ccedilla,00C7,137
,Egrave,00C8,138
,Eacute,00C9,139
,Ecircumflex,00CA,140
,Edieresis,00CB,141
,Igrave,00CC,142
,Iacute,00CD,143
,Icircumflex,00CE,144
,Idieresis,00CF,145
,Eth,00D0,146
,Ntilde,00D1,147
,Ograve,00D2,148
,Oacute,00D3,149
,Ocircumflex,00D4,150
,Otilde,00D5,151
,Odieresis,00D6,152
,multiply,00D7,153
,Oslash,00D8,154
,Ugrave,00D9,155
,Uacute,00DA,156
,Ucircumflex,00DB,157
,Udieresis,00DC,158
,Yacute,00DD,159
,Thorn,00DE,160
,germandbls,00DF,161
,agrave,00E0,162
,aacute,00E1,163
,acircumflex,00E2,164
,atilde,00E3,165
,adieresis,00E4,166
,aring,00E5,167
,ae,00E6,168
,ccedilla,00E7,169
,egrave,00E8,170
,eacute,00E9,171
,ecircumflex,00EA,172
,edieresis,00EB,173
,igrave,00EC,174
,iacute,00ED,175
,icircumflex,00EE,176
,idieresis,00EF,177
,eth,00F0,178
,ntilde,00F1,179
,ograve,00F2,180
,oacute,00F3,181
,ocircumflex,00F4,182
,otilde,00F5,183
,odieresis,00F6,184
,divide,00F7,185
,oslash,00F8,186
,ugrave,00F9,187
,uacute,00FA,188
,ucircumflex,00FB,189
,udieresis,00FC,190
,yacute,00FD,191
,thorn,00FE,192
,ydieresis,00FF,193
,dotlessi,0131,194
,OE,0152,195
,oe,0153,196
,Scaron,0160,197
,scaron,0161,198
,Ydieresis,0178,199
,Zcaron,017D,200
,zcaron,017E,201
,florin,0192,202
,circumflex,02C6,203
,caron,02C7,204
,uni02D0,02D0,205
,breve,02D8,206
,dotaccent,02D9,207
,ring,02DA,208
,ogonek,02DB,209
,tilde,02DC,210
,uni034F,034F,211
,hungarumlaut,02DD,212
,pi,03C0,213
,uni1C00,1C00,214
,uni1C001C24,,215
,uni1C001C25,,216
,uni1C001C251C24,,217
,uni1C01,1C01,218
,uni1C011C24,,219
,uni1C02,1C02,220
,uni1C021C24,,221
,uni1C03,1C03,222
,uni1C031C24,,223
,uni1C031C25,,224
,uni1C031C251C24,,225
,uni1C04,1C04,226
,uni1C041C24,,227
,uni1C05,1C05,228
,uni1C051C24,,229
,uni1C051C25,,230
,uni1C051C251C24,,231
,uni1C06,1C06,232
,uni1C07,1C07,233
,uni1C08,1C08,234
,uni1C09,1C09,235
,uni1C0A,1C0A,236
,uni1C0A1C24,,237
,uni1C0B,1C0B,238
,uni1C0B1C24,,239
,uni1C0C,1C0C,240
,uni1C0C1C24,,241
,uni1C0D,1C0D,242
,uni1C0E,1C0E,243
,uni1C0E1C24,,244
,uni1C0E1C25,,245
,uni1C0E1C251C24,,246
,uni1C0F,1C0F,247
,uni1C0F1C24,,248
,uni1C10,1C10,249
,uni1C101C24,,250
,uni1C11,1C11,251
,uni1C111C24,,252
,uni1C111C25,,253
,uni1C111C251C24,,254
,uni1C12,1C12,255
,uni1C121C24,,256
,uni1C13,1C13,257
,uni1C131C24,,258
,uni1C131C25,,259
,uni1C131C251C24,,260
,uni1C14,1C14,261
,uni1C141C24,,262
,uni1C15,1C15,263
,uni1C151C24,,264
,uni1C151C25,,265
,uni1C151C251C24,,266
,uni1C16,1C16,267
,uni1C161C24,,268
,uni1C17,1C17,269
,uni1C18,1C18,270
,uni1C19,1C19,271
,uni1C1A,1C1A,272
,uni1C1B,1C1B,273
,uni1C1B1C24,,274
,uni1C1C,1C1C,275
,uni1C1C1C24,,276
,uni1C1D,1C1D,277
,uni1C1D1C24,,278
,uni1C1D1C25,,279
,uni1C1D1C251C24,,280
,uni1C1E,1C1E,281
,uni1C1E1C24,,282
,uni1C1F,1C1F,283
,uni1C1F1C24,,284
,uni1C20,1C20,285
,uni1C21,1C21,286
,uni1C211C24,,287
,uni1C22,1C22,288
,uni1C23,1C23,289
,uni1C231C24,,290
,uni1C24,1C24,291
,uni1C25,1C25,292
,uni1C26,1C26,293
,uni1C27,1C27,294
,uni1C27left,,294.1
,uni1C271C35,,295
,uni1C28,1C28,296
,uni1C28left,,296.1
,uni1C281C35,,297
,uni1C29,1C29,298
,uni1C29left,,298.1
,uni1C291C2D,,299
,uni1C291C2E,,300
,uni1C291C2F,,301
,uni1C291C30,,302
,uni1C291C31,,303
,uni1C291C32,,304
,uni1C291C33,,305
,uni1C291C35,,306
,uni1C291C36,,306.1
,uni1C291C2Dleft,,306.2
,uni1C291C2Eleft,,306.3
,uni1C291C2Fleft,,306.4
,uni1C291C30left,,306.5
,uni1C291C31left,,306.6
,uni1C291C32left,,306.7
,uni1C291C33left,,306.8
,uni1C291C35left,,306.9
,uni1C291C36left,,307.0
,uni1C2A,1C2A,307.1
,uni1C2B,1C2B,308
,uni1C2C,1C2C,309
,uni1C2D,1C2D,310
,uni1C2D1C36,,311
,uni1C2E,1C2E,312
,uni1C2E1C36,,313
,uni1C2F,1C2F,314
,uni1C2F1C36,,315
,uni1C30,1C30,316
,uni1C301C36,,317
,uni1C31,1C31,318
,uni1C311C36,,319
,uni1C32,1C32,320
,uni1C321C36,,321
,uni1C33,1C33,322
,uni1C331C36,,323
,uni1C34,1C34,324
,uni1C35,1C35,325
,uni1C36,1C36,326
,uni1C37,1C37,327
,uni1C3B,1C3B,328
,uni1C3C,1C3C,329
,uni1C3D,1C3D,330
,uni1C3E,1C3E,331
,uni1C3F,1C3F,332
,uni1C40,1C40,333
,uni1C41,1C41,334
,uni1C42,1C42,335
,uni1C43,1C43,336
,uni1C44,1C44,337
,uni1C45,1C45,338
,uni1C46,1C46,339
,uni1C47,1C47,340
,uni1C48,1C48,341
,uni1C49,1C49,342
,uni1C4D,1C4D,343
,uni1C4E,1C4E,344
,uni1C4F,1C4F,345
,uni2000,2000,346
,uni2001,2001,347
,uni2002,2002,348
,uni2003,2003,349
,uni2004,2004,350
,uni2005,2005,351
,uni2006,2006,352
,uni2007,2007,353
,uni2008,2008,354
,uni2009,2009,355
,uni200A,200A,356
,uni200B,200B,357
,uni200C,200C,358
,uni200D,200D,359
,uni200E,200E,360
,uni200F,200F,361
,uni2010,2010,362
,uni2011,2011,363
,figuredash,2012,364
,endash,2013,365
,emdash,2014,366
,uni2015,2015,367
,quoteleft,2018,368
,quoteright,2019,369
,quotesinglbase,201A,370
,quotedblleft,201C,371
,quotedblright,201D,372
,quotedblbase,201E,373
,dagger,2020,374
,daggerdbl,2021,375
,bullet,2022,376
,ellipsis,2026,377
,uni2027,2027,378
,uni2028,2028,379
,uni2029,2029,380
,uni202A,202A,381
,uni202B,202B,382
,uni202C,202C,383
,uni202D,202D,384
,uni202E,202E,385
,uni202F,202F,386
,perthousand,2030,387
,guilsinglleft,2039,388
,guilsinglright,203A,389
,fraction,2044,390
,uni2060,2060,391
,Euro,20AC,392
,trademark,2122,393
,Omega,2126,394
,partialdiff,2202,395
,Delta,2206,396
,product,220F,397
,summation,2211,398
,uni2219,2219,399
,radical,221A,400
,infinity,221E,401
,integral,222B,402
,approxequal,2248,403
,notequal,2260,404
,lessequal,2264,405
,greaterequal,2265,406
,blank,2423,407
,lozenge,25CA,408
,uni25CC,25CC,409
,fi,FB01,410
,fl,FB02,411
,uniFE00,FE00,412
,uniFE01,FE01,413
,uniFE02,FE02,414
,uniFE03,FE03,415
,uniFE04,FE04,416
,uniFE05,FE05,417
,uniFE06,FE06,418
,uniFE07,FE07,419
,uniFE08,FE08,420
,uniFE09,FE09,421
,uniFE0A,FE0A,422
,uniFE0B,FE0B,423
,uniFE0C,FE0C,424
,uniFE0D,FE0D,425
,uniFE0E,FE0E,426
,uniFE0F,FE0F,427
,uniFEFF,FEFF,428
,uniFFFC,FFFC,429
,uniFFFD,FFFD,430
,uni1C191C37,,431
,uni1C1B1C37,,432
,uni1C001C371C25,,433
,uni1C031C371C25,,434
,uni1C1D1C371C25,,435
,uni1C101C37,,436
,uni1C211C37,,437
,uni1C001C371C24,,438
,uni1C001C371C251C24,,439
,uni1C031C371C24,,440
,uni1C131C371C25,,441
,uni1C1D1C371C24,,442
,uni1C1D1C371C251C24,,443
